STATIONID,LATITUDE,LONGITUDE
US10gage007,40.0305,-96.8817
US10gage008,40.3642,-96.6782
US10gage009,40.0086,-96.7029
US10gage012,40.5008,-96.7049
US10gage013,40.2911,-96.5367
US10gage015,40.1312,-96.6284
US10gage017,40.2143,-96.5954
US10gage018,40.0445,-96.5112
US10gage020,40.377,-96.9086
US10gage021,40.4678,-96.829
US10gage022,40.118,-96.879
US10gage023,40.0731,-96.7611
US10gage025,40.5039,-96.5896
US10gage026,40.453,-96.5099
US10gage033,40.4606,-96.5115
US10gage035,40.267,-96.7144
US10gage044,40.4914,-96.5204
US10gage045,40.4437,-96.5323
US10gard002,41.4093,-102.4439
US10gard003,41.3342,-102.5328
US10gard004,41.4114,-102.346
US10gard007,41.8016,-102.5544
US10gard008,41.2437,-102.5323
US10gard009,41.3366,-102.1023
US10gard010,41.9762,-102.3879
US10gard011,41.4039,-102.3447
US10gard016,41.2373,-102.4249
US10gard019,41.388,-102.179
US10gard020,41.3456,-102.0836
US10gard021,41.4377,-102.4345
US10garf001,41.7952,-99.1076
US10garf002,42.022,-98.9171
US10garf003,41.8614,-99.0989
US10garf004,42.058,-98.9925
US10garf005,42.0123,-98.899
US10garf006,41.7862,-99.1309
US10garf007,41.7223,-99.02
US10garf009,41.7533,-99.1485
US10garf010,41.8256,-99.1867
US10garf011,41.9688,-99.1466
US10gosp001,40.3974,-99.6763
US10gosp002,40.4379,-99.8351
US10gosp003,40.34,-99.5716
US10gosp004,40.3873,-99.973
US10gosp006,40.4087,-99.6633
US10gran003,41.8177,-101.4405
US10gran004,41.9685,-102.024
US10gran008,41.971,-101.4603
US10gran009,41.9993,-101.7542
US10gran010,41.8993,-101.9545
US10gran011,41.8507,-101.446
US10gran013,41.9721,-101.4685
US10gree002,41.6883,-98.3615
US10gree003,41.4238,-98.6947
US10gree004,41.4663,-98.6272
US10gree005,41.4632,-98.4799
US10gree006,41.6563,-98.7329
US10gree007,41.6869,-98.3657
US10gree009,41.7076,-98.4852
US10gree010,41.582,-98.6543
US10gree011,41.581,-98.3857
US10gree012,41.4611,-98.4383
US10hall001,40.9294,-98.3767
US10hall002,40.9187,-98.3863
US10hall003,40.9407,-98.3474
US10hall004,40.8585,-98.3781
US10hall005,40.7874,-98.3029
US10hall006,41.0376,-98.6071
US10hall007,41.018,-98.3042
US10hall008,40.8229,-98.5984
US10hall009,40.7734,-98.4137
US10hall010,40.7467,-98.579
US10hall011,41.0018,-98.6143
US10hall012,40.8745,-98.5746
US10hall014,40.7037,-98.7025
US10hall015,40.9291,-98.3518
US10hall016,40.9357,-98.3378
US10hall017,40.8215,-98.4201
US10hall018,40.7859,-98.6834
US10hall019,40.8883,-98.5447
US10hall020,40.8873,-98.7113
US10hall021,40.9435,-98.3695
US10hall026,40.9331,-98.3548
US10hall027,40.9514,-98.4135
US10hall035,40.898,-98.3619
US10hall039,40.9894,-98.5117
US10hall042,40.9436,-98.3706
US10hall043,40.7921,-98.6456
US10hall044,40.9982,-98.6025
US10hami001,41.0539,-97.8878
US10hami002,40.8863,-97.8748
US10hami003,40.8598,-97.8425
US10hami004,40.8583,-97.9881
US10hami005,40.878,-97.8801
US10hami006,41.0058,-97.9481
US10hami008,40.945,-98.1132
US10hami009,40.9592,-97.9823
US10hami011,40.7849,-98.169
US10hami012,41.0348,-97.8459
US10hami013,40.8944,-98.2171
US10hami015,40.7934,-98.0724
US10hami016,40.8728,-98.0833
US10hami017,40.9503,-97.9988
US10hami019,40.989,-97.9976
US10hami021,40.8724,-98.0108
US10harl001,40.1011,-99.366
US10harl002,40.1296,-99.3493
US10harl004,40.1765,-99.5579
US10harl007,40.1277,-99.4544
US10harl008,40.0983,-99.3626
US10harl009,40.1176,-99.2433
US10harl010,40.1273,-99.5572
US10harl012,40.3073,-99.3492
US10harl013,40.2408,-99.2552
US10harl014,40.129,-99.4512
US10haye001,40.4525,-100.9292
US10haye002,40.6826,-101.2432
US10haye003,40.5106,-101.0202
US10haye004,40.3999,-101.2766
US10haye005,40.6963,-101.1418
US10haye006,40.5296,-100.925
US10haye007,40.6107,-100.8519
US10haye008,40.3518,-101.0865
US10haye009,40.4232,-101.211
US10haye010,40.5537,-101.2957
US10haye011,40.5865,-101.074
US10haye012,40.3725,-101.0376
US10haye013,40.6565,-100.8098
US10hitc002,40.2121,-101.0503
